game_id,class,tagged_by
1715,5b,gpt-4o
1715,3b,gpt-4o
1887,2d,gpt-4o
1887,3b,gpt-4o
1887,6f,gpt-4o
1752,1b,gpt-4o
1752,1c,gpt-4o
1718,1b,gpt-4o
1718,1c,gpt-4o
2025,1b,gpt-4o
2025,1c,gpt-4o
1935,3a,gpt-4o
1935,1c,gpt-4o
1868,1c,gpt-4o
1868,5e,gpt-4o
2063,1c,gpt-4o
2063,5e,gpt-4o
2050,2d,gpt-4o
2050,3a,gpt-4o
1934,5e,gpt-4o
2123,1b,gpt-4o
2123,3a,gpt-4o
2123,4d,gpt-4o
1947,1c,gpt-4o
1947,5e,gpt-4o
1933,1b,gpt-4o
1933,1c,gpt-4o
1792,1b,gpt-4o
1792,5e,gpt-4o
2213,1b,gpt-4o
2213,1c,gpt-4o
2076,1b,gpt-4o
2076,1c,gpt-4o
2076,5e,gpt-4o
2147,5b,gpt-4o
2147,4b,gpt-4o
2135,1b,gpt-4o
2135,1c,gpt-4o
2135,3b,gpt-4o
2135,2d,gpt-4o
2085,1b,gpt-4o
2085,1c,gpt-4o
2085,5e,gpt-4o
1876,1b,gpt-4o
1876,1c,gpt-4o
2157,5e,gpt-4o
2157,5a,gpt-4o
2157,5b,gpt-4o
2043,1b,gpt-4o
2043,1c,gpt-4o
2043,3a,gpt-4o
1742,1b,gpt-4o
1742,1c,gpt-4o
1742,5e,gpt-4o
1846,1b,gpt-4o
1804,1b,gpt-4o
1804,4b,gpt-4o
1795,1b,gpt-4o
1795,1c,gpt-4o
1751,1b,gpt-4o
1751,2d,gpt-4o
1751,3b,gpt-4o
2220,5e,gpt-4o
2230,4f,gpt-4o
2230,5c,gpt-4o
2230,5e,gpt-4o
1721,1b,gpt-4o
1721,1c,gpt-4o
2152,6a,gpt-4o
1992,1b,gpt-4o
1992,1c,gpt-4o
1870,1b,gpt-4o
1870,1c,gpt-4o
1901,3a,gpt-4o
2175,1b,gpt-4o
2175,1c,gpt-4o
1890,1b,gpt-4o
1890,1c,gpt-4o
1890,3a,gpt-4o
1776,1b,gpt-4o
1776,1c,gpt-4o
1776,5e,gpt-4o
2051,5e,gpt-4o
1816,5e,gpt-4o
2083,6d,gpt-4o
2083,2c,gpt-4o
1975,1b,gpt-4o
1975,4d,gpt-4o
1975,5c,gpt-4o
2067,1b,gpt-4o
2067,1c,gpt-4o
2067,5e,gpt-4o
1817,2a,gpt-4o
1817,1b,gpt-4o
2228,5e,gpt-4o
2228,6f,gpt-4o
2217,1b,gpt-4o
2217,1c,gpt-4o
2217,5e,gpt-4o
2217,6f,gpt-4o
1966,1b,gpt-4o
1966,1c,gpt-4o
1786,1b,gpt-4o
1786,1c,gpt-4o
1786,2a,gpt-4o
1960,1c,gpt-4o
1960,3b,gpt-4o
1971,3b,gpt-4o
1971,4d,gpt-4o
1971,4f,gpt-4o
2115,1c,gpt-4o
2115,5e,gpt-4o
2153,5e,gpt-4o
2153,6a,gpt-4o
1822,1c,gpt-4o
1822,5b,gpt-4o
1822,5c,gpt-4o
1822,5e,gpt-4o
2108,1b,gpt-4o
2108,1c,gpt-4o
2108,5e,gpt-4o
2107,1b,gpt-4o
2107,1c,gpt-4o
1874,1b,gpt-4o
1874,1c,gpt-4o
2059,5e,gpt-4o
2059,4f,gpt-4o
2004,2c,gpt-4o
2004,4b,gpt-4o
2004,4d,gpt-4o
2004,5b,gpt-4o
2004,5e,gpt-4o
1820,1b,gpt-4o
1873,5e,gpt-4o
2060,5e,gpt-4o
1878,1b,gpt-4o
1878,1c,gpt-4o
1878,2d,gpt-4o
2186,1b,gpt-4o
2186,1c,gpt-4o
2186,5e,gpt-4o
1803,1b,gpt-4o
1803,1c,gpt-4o
1803,5e,gpt-4o
1948,1b,gpt-4o
1948,1c,gpt-4o
2113,5e,gpt-4o
2113,1b,gpt-4o
2124,5e,gpt-4o
2124,4d,gpt-4o
2124,4f,gpt-4o
2124,6a,gpt-4o
2022,1b,gpt-4o
2022,1c,gpt-4o
2022,2a,gpt-4o
2022,5b,gpt-4o
2119,5e,gpt-4o
2221,5e,gpt-4o
2221,5c,gpt-4o
2221,3b,gpt-4o
1717,1a,gpt-4o
1841,5c,gpt-4o
1841,5e,gpt-4o
1741,6a,gpt-4o
2167,1c,gpt-4o
2167,3b,gpt-4o
2046,1b,gpt-4o
2046,5e,gpt-4o
1738,1b,gpt-4o
2184,1b,gpt-4o
2184,1c,gpt-4o
2184,3a,gpt-4o
1909,1b,gpt-4o
1909,4f,gpt-4o
2020,1c,gpt-4o
2015,1b,gpt-4o
2015,1c,gpt-4o
2015,4d,gpt-4o
2015,4f,gpt-4o
1735,1c,gpt-4o
1810,1b,gpt-4o
1810,1c,gpt-4o
1810,5e,gpt-4o
1745,1c,gpt-4o
1954,4f,gpt-4o
1954,5e,gpt-4o
1954,3a,gpt-4o
2038,1b,gpt-4o
2038,3a,gpt-4o
2038,5e,gpt-4o
1831,2c,gpt-4o
1831,6a,gpt-4o
2202,1b,gpt-4o
1903,3a,gpt-4o
1903,4c,gpt-4o
1903,5e,gpt-4o
2200,1b,gpt-4o
2200,1c,gpt-4o
2200,5e,gpt-4o
1787,5c,gpt-4o
1787,5e,gpt-4o
2121,5e,gpt-4o
2197,1b,gpt-4o
2197,1c,gpt-4o
1869,1c,gpt-4o
1761,1b,gpt-4o
1761,1c,gpt-4o
2039,1b,gpt-4o
2039,1c,gpt-4o
1902,6a,gpt-4o
1902,3a,gpt-4o
1744,1b,gpt-4o
1744,1c,gpt-4o
1833,5b,gpt-4o
1833,5e,gpt-4o
1872,1b,gpt-4o
1872,1c,gpt-4o
1739,1b,gpt-4o
1739,2d,gpt-4o
1813,1c,gpt-4o
1813,2d,gpt-4o
1813,5e,gpt-4o
2143,5e,gpt-4o
2143,5c,gpt-4o
1767,1b,gpt-4o
1767,1c,gpt-4o
1767,2d,gpt-4o
1700,1b,gpt-4o
1700,2d,gpt-4o
1700,3a,gpt-4o
1700,3b,gpt-4o
1915,1c,gpt-4o
1915,5a,gpt-4o
1930,1b,gpt-4o
1930,1c,gpt-4o
2102,2b,gpt-4o
2102,4c,gpt-4o
2102,4f,gpt-4o
1943,5a,gpt-4o
1943,5b,gpt-4o
1755,1b,gpt-4o
1755,1c,gpt-4o
2065,1b,gpt-4o
2065,1c,gpt-4o
1746,5e,gpt-4o
1746,5f,gpt-4o
1722,1b,gpt-4o
1722,1c,gpt-4o
1722,5b,gpt-4o
1875,1b,gpt-4o
1875,1c,gpt-4o
2171,3a,gpt-4o
2171,4f,gpt-4o
2058,5e,gpt-4o
2188,1b,gpt-4o
2188,1c,gpt-4o
2188,5a,gpt-4o
1939,1b,gpt-4o
1939,1c,gpt-4o
1939,6a,gpt-4o
2223,1b,gpt-4o
2223,1c,gpt-4o
2223,5a,gpt-4o
1759,1b,gpt-4o
1759,1c,gpt-4o
1818,1b,gpt-4o
1818,1c,gpt-4o
1818,2a,gpt-4o
2198,3a,gpt-4o
2198,5b,gpt-4o
2030,1b,gpt-4o
2030,1c,gpt-4o
2030,5c,gpt-4o
2030,5e,gpt-4o
1894,6a,gpt-4o
1847,1c,gpt-4o
1847,5e,gpt-4o
2064,1c,gpt-4o
2064,4f,gpt-4o
1794,5e,gpt-4o
1998,1b,gpt-4o
1998,2b,gpt-4o
1815,3a,gpt-4o
1815,5e,gpt-4o
1840,1b,gpt-4o
1840,1c,gpt-4o
2158,1b,gpt-4o
2158,3b,gpt-4o
2018,1b,gpt-4o
2018,1c,gpt-4o
2138,5b,gpt-4o
2172,5e,gpt-4o
2172,1c,gpt-4o
1910,5e,gpt-4o
1910,5a,gpt-4o
1758,1c,gpt-4o
1758,3b,gpt-4o
1758,2d,gpt-4o
2165,3a,gpt-4o
2165,3b,gpt-4o
2165,5e,gpt-4o
1925,3a,gpt-4o
1925,1c,gpt-4o
1925,1b,gpt-4o
2111,1b,gpt-4o
2111,1c,gpt-4o
2003,1b,gpt-4o
2003,1c,gpt-4o
2003,2b,gpt-4o
2003,5e,gpt-4o
1898,5e,gpt-4o
2168,1c,gpt-4o
2168,5c,gpt-4o
2168,5e,gpt-4o
1773,1b,gpt-4o
1773,1c,gpt-4o
1773,2a,gpt-4o
1912,1c,gpt-4o
1912,5e,gpt-4o
1855,1c,gpt-4o
1855,5e,gpt-4o
2007,1b,gpt-4o
2007,1c,gpt-4o
2007,5e,gpt-4o
2103,1b,gpt-4o
2103,1c,gpt-4o
2103,5e,gpt-4o
2159,5b,gpt-4o
2159,4b,gpt-4o
2159,1c,gpt-4o
1783,2a,gpt-4o
1766,1c,gpt-4o
1766,3b,gpt-4o
2136,4f,gpt-4o
2136,4b,gpt-4o
1850,1b,gpt-4o
1808,3b,gpt-4o
1808,5a,gpt-4o
1763,1b,gpt-4o
1763,1c,gpt-4o
1763,5e,gpt-4o
1879,5e,gpt-4o
1904,2d,gpt-4o
1904,3b,gpt-4o
2084,5e,gpt-4o
2084,5f,gpt-4o
2084,2d,gpt-4o
2106,2a,gpt-4o
2106,4d,gpt-4o
2106,5f,gpt-4o
2074,5c,gpt-4o
1836,1c,gpt-4o
1836,3a,gpt-4o
1836,5e,gpt-4o
1958,1b,gpt-4o
1958,3b,gpt-4o
1782,1b,gpt-4o
1973,3b,gpt-4o
1973,4c,gpt-4o
1851,1c,gpt-4o
1851,4e,gpt-4o
2155,1c,gpt-4o
2155,3b,gpt-4o
1702,1b,gpt-4o
2079,5e,gpt-4o
2079,6a,gpt-4o
2131,4e,gpt-4o
2131,4f,gpt-4o
2131,5e,gpt-4o
2131,1c,gpt-4o
1919,6a,gpt-4o
1919,5e,gpt-4o
2185,3a,gpt-4o
2019,1b,gpt-4o
2019,1c,gpt-4o
2019,3b,gpt-4o
2019,5e,gpt-4o
1881,5e,gpt-4o
1852,1b,gpt-4o
1852,2a,gpt-4o
1727,1c,gpt-4o
1727,5a,gpt-4o
2129,3b,gpt-4o
2129,1c,gpt-4o
1731,1b,gpt-4o
1731,3a,gpt-4o
1731,3b,gpt-4o
1854,5a,gpt-4o
1854,5b,gpt-4o
1854,5e,gpt-4o
2098,1b,gpt-4o
2098,5b,gpt-4o
1938,1b,gpt-4o
1938,5e,gpt-4o
2110,1c,gpt-4o
1994,1b,gpt-4o
1994,1c,gpt-4o
1994,3a,gpt-4o
2029,1b,gpt-4o
2029,5e,gpt-4o
2176,6e,gpt-4o
1800,5e,gpt-4o
1800,3b,gpt-4o
1995,3a,gpt-4o
1995,3b,gpt-4o
1768,1b,gpt-4o
1768,1c,gpt-4o
1768,6a,gpt-4o
2094,1b,gpt-4o
2094,1c,gpt-4o
1856,3a,gpt-4o
1856,1c,gpt-4o
2077,5e,gpt-4o
2162,1c,gpt-4o
2162,5a,gpt-4o
2032,1b,gpt-4o
2032,1c,gpt-4o
2170,5c,gpt-4o
2170,5g,gpt-4o
1985,1c,gpt-4o
1985,5e,gpt-4o
2040,1b,gpt-4o
2040,5e,gpt-4o
1877,1c,gpt-4o
1877,5g,gpt-4o
1926,1b,gpt-4o
2205,5e,gpt-4o
2008,3a,gpt-4o
2008,3b,gpt-4o
2008,4f,gpt-4o
1917,1b,gpt-4o
1917,5e,gpt-4o
1917,3a,gpt-4o
1838,1b,gpt-4o
1838,1c,gpt-4o
2139,5e,gpt-4o
1882,2d,gpt-4o
1882,3a,gpt-4o
2140,1b,gpt-4o
2140,1c,gpt-4o
1704,1c,gpt-4o
1704,2a,gpt-4o
1980,1b,gpt-4o
2160,1b,gpt-4o
2160,1c,gpt-4o
2160,6f,gpt-4o
1709,5g,gpt-4o
1709,6f,gpt-4o
2071,6d,gpt-4o
3075,5a,gpt-4o
3075,5e,gpt-4o
3052,1b,gpt-4o
3052,5a,gpt-4o
2670,5e,gpt-4o
3035,1b,gpt-4o
3035,5e,gpt-4o
3035,6f,gpt-4o
2464,1c,gpt-4o
2464,4f,gpt-4o
2982,1b,gpt-4o
2982,1c,gpt-4o
2982,3a,gpt-4o
2969,1b,gpt-4o
2969,2a,gpt-4o
2866,3a,gpt-4o
2866,4b,gpt-4o
3020,1b,gpt-4o
3020,2a,gpt-4o
2855,6d,gpt-4o
2892,5e,gpt-4o
2892,5a,gpt-4o
2782,2b,gpt-4o
2744,1b,gpt-4o
2744,1c,gpt-4o
2973,1b,gpt-4o
2973,1c,gpt-4o
2973,5e,gpt-4o
2973,3a,gpt-4o
2966,2d,gpt-4o
2966,5a,gpt-4o
2966,5b,gpt-4o
3009,1b,gpt-4o
3009,5e,gpt-4o
2798,1b,gpt-4o
2798,2a,gpt-4o
3026,2d,gpt-4o
3026,5b,gpt-4o
2538,1b,gpt-4o
2538,1c,gpt-4o
2636,5e,gpt-4o
2757,5e,gpt-4o
2460,1b,gpt-4o
2654,1c,gpt-4o
2574,5e,gpt-4o
2574,5f,gpt-4o
2889,3a,gpt-4o
2889,4f,gpt-4o
2889,5c,gpt-4o
2522,1b,gpt-4o
2522,2a,gpt-4o
2522,1c,gpt-4o
2511,1c,gpt-4o
2511,5a,gpt-4o
2503,5a,gpt-4o
2503,5e,gpt-4o
2761,3a,gpt-4o
2761,5c,gpt-4o
2937,1c,gpt-4o
2937,3a,gpt-4o
3080,3a,gpt-4o
3080,6a,gpt-4o
2428,1b,gpt-4o
2468,6a,gpt-4o
2723,1b,gpt-4o
2723,1c,gpt-4o
2723,5e,gpt-4o
2751,1c,gpt-4o
2430,1b,gpt-4o
2430,3a,gpt-4o
2625,3a,gpt-4o
2625,3b,gpt-4o
3060,5e,gpt-4o
2570,6e,gpt-4o
2234,6b,gpt-4o
2616,5e,gpt-4o
2857,1c,gpt-4o
2857,5e,gpt-4o
2597,1c,gpt-4o
2597,5e,gpt-4o
2713,1b,gpt-4o
2740,4b,gpt-4o
2740,1b,gpt-4o
2863,1b,gpt-4o
2863,5e,gpt-4o
2763,4b,gpt-4o
2512,6a,gpt-4o
2934,6b,gpt-4o
2624,1b,gpt-4o
2624,1c,gpt-4o
2827,5a,gpt-4o
2827,5e,gpt-4o
2631,3a,gpt-4o
2631,3b,gpt-4o
2661,5a,gpt-4o
2661,5b,gpt-4o
2699,1b,gpt-4o
2699,3a,gpt-4o
2943,5e,gpt-4o
2943,5g,gpt-4o
2560,1b,gpt-4o
2560,1c,gpt-4o
2560,5e,gpt-4o
