game_id,class,tagged_by
1923,4C,gpt-4o
1837,1B,gpt-4o
2212,3B,gpt-4o
2212,6C,gpt-4o
2053,1A,gpt-4o
2053,1B,gpt-4o
2001,2A,gpt-4o
2001,4D,gpt-4o
1823,2B,gpt-4o
1823,5C,gpt-4o
2070,1C,gpt-4o
2070,2C,gpt-4o
1970,3B,gpt-4o
1819,1A,gpt-4o
1819,5C,gpt-4o
1993,1A,gpt-4o
1885,3A,gpt-4o
2166,6A,gpt-4o
1946,5B,gpt-4o
1884,6D,gpt-4o
2203,2C,gpt-4o
1949,1C,gpt-4o
1949,2B,gpt-4o
1949,6A,gpt-4o
2075,1A,gpt-4o
2075,6B,gpt-4o
2134,1A,gpt-4o
1793,3A,gpt-4o
1793,3D,gpt-4o
1826,6D,gpt-4o
1986,2A,gpt-4o
1986,1B,gpt-4o
1986,1A,gpt-4o
1889,2A,gpt-4o
1889,1A,gpt-4o
2191,5C,gpt-4o
1798,1A,gpt-4o
2044,6D,gpt-4o
1801,1A,gpt-4o
1801,2A,gpt-4o
1861,2C,gpt-4o
1861,2D,gpt-4o
1706,1A,gpt-4o
1843,4B,gpt-4o
1843,5C,gpt-4o
1814,4B,gpt-4o
1814,3D,gpt-4o
2089,1A,gpt-4o
2089,1B,gpt-4o
1858,1B,gpt-4o
1858,2B,gpt-4o
2062,1A,gpt-4o
2023,3D,gpt-4o
1736,3D,gpt-4o
1983,1A,gpt-4o
2017,1A,gpt-4o
2017,1B,gpt-4o
2017,6D,gpt-4o
2055,2C,gpt-4o
2055,1C,gpt-4o
1921,1A,gpt-4o
1921,5C,gpt-4o
1964,5B,gpt-4o
1950,1A,gpt-4o
1832,5C,gpt-4o
1785,1C,gpt-4o
1785,2C,gpt-4o
1953,7A,gpt-4o
2095,1A,gpt-4o
2095,2B,gpt-4o
2095,5C,gpt-4o
1765,6D,gpt-4o
2199,1C,gpt-4o
2199,5A,gpt-4o
1824,5C,gpt-4o
1772,3B,gpt-4o
1806,1C,gpt-4o
1806,5C,gpt-4o
2033,5A,gpt-4o
2033,5C,gpt-4o
2142,3C,gpt-4o
2196,5C,gpt-4o
2196,3B,gpt-4o
2013,7A,gpt-4o
2054,7A,gpt-4o
1757,1A,gpt-4o
1757,2C,gpt-4o
1987,7A,gpt-4o
1707,1A,gpt-4o
1707,3B,gpt-4o
2150,5C,gpt-4o
2026,6D,gpt-4o
2016,5C,gpt-4o
2109,2B,gpt-4o
2109,2C,gpt-4o
1941,6C,gpt-4o
1827,6B,gpt-4o
1828,2C,gpt-4o
1828,3A,gpt-4o
1732,4B,gpt-4o
1979,7A,gpt-4o
2193,1A,gpt-4o
2193,5C,gpt-4o
2193,6D,gpt-4o
2093,1A,gpt-4o
2093,2C,gpt-4o
2114,1A,gpt-4o
1967,6C,gpt-4o
2154,2C,gpt-4o
2045,3C,gpt-4o
2069,3B,gpt-4o
2069,3D,gpt-4o
2069,2B,gpt-4o
2002,1A,gpt-4o
2002,2C,gpt-4o
1775,6C,gpt-4o
2120,1A,gpt-4o
2120,1C,gpt-4o
2120,6C,gpt-4o
2151,1A,gpt-4o
2128,3A,gpt-4o
1892,1A,gpt-4o
1892,5C,gpt-4o
1842,3B,gpt-4o
1842,3C,gpt-4o
1893,1C,gpt-4o
1893,5C,gpt-4o
1799,6D,gpt-4o
1956,6C,gpt-4o
2011,1A,gpt-4o
2011,1B,gpt-4o
2011,2C,gpt-4o
1812,6D,gpt-4o
1897,1C,gpt-4o
1961,6C,gpt-4o
1911,3A,gpt-4o
1865,3C,gpt-4o
1865,5C,gpt-4o
1784,5C,gpt-4o
1784,6D,gpt-4o
1974,1A,gpt-4o
1974,6D,gpt-4o
1719,1A,gpt-4o
1719,6C,gpt-4o
2141,3A,gpt-4o
2141,2A,gpt-4o
2141,6D,gpt-4o
2161,3A,gpt-4o
2161,2C,gpt-4o
2010,1A,gpt-4o
2010,2B,gpt-4o
1805,1B,gpt-4o
1805,5C,gpt-4o
2036,1A,gpt-4o
2181,6A,gpt-4o
1748,1A,gpt-4o
1748,5C,gpt-4o
2126,7A,gpt-4o
1969,1A,gpt-4o
2214,1C,gpt-4o
2214,5C,gpt-4o
2187,5C,gpt-4o
1942,2D,gpt-4o
1942,3C,gpt-4o
1730,3D,gpt-4o
1809,5C,gpt-4o
2118,2C,gpt-4o
2118,3B,gpt-4o
2118,5C,gpt-4o
2190,6C,gpt-4o
2190,5C,gpt-4o
1781,2C,gpt-4o
1797,1A,gpt-4o
1797,2C,gpt-4o
2082,1A,gpt-4o
2097,1A,gpt-4o
2097,1C,gpt-4o
1955,2C,gpt-4o
1955,2A,gpt-4o
1955,5C,gpt-4o
2012,5C,gpt-4o
1770,2C,gpt-4o
2101,1B,gpt-4o
1769,2C,gpt-4o
1769,3A,gpt-4o
1965,6C,gpt-4o
1866,3A,gpt-4o
1774,6C,gpt-4o
2130,1A,gpt-4o
2130,4B,gpt-4o
1853,1A,gpt-4o
1853,1B,gpt-4o
1853,1C,gpt-4o
1853,2A,gpt-4o
1996,2D,gpt-4o
1996,1C,gpt-4o
2096,6D,gpt-4o
1871,1A,gpt-4o
1849,1A,gpt-4o
1849,1B,gpt-4o
1849,2C,gpt-4o
1896,1A,gpt-4o
1896,5C,gpt-4o
1991,6D,gpt-4o
1729,1A,gpt-4o
1729,1C,gpt-4o
1729,3D,gpt-4o
1705,2C,gpt-4o
1705,2D,gpt-4o
2224,3B,gpt-4o
1845,5C,gpt-4o
2080,1A,gpt-4o
2080,2C,gpt-4o
2080,5C,gpt-4o
2182,2C,gpt-4o
2182,6D,gpt-4o
1703,1C,gpt-4o
1703,2A,gpt-4o
1821,5B,gpt-4o
1821,1B,gpt-4o
1821,5C,gpt-4o
1888,3B,gpt-4o
1888,5C,gpt-4o
2207,6C,gpt-4o
1740,6C,gpt-4o
2183,3A,gpt-4o
1863,2C,gpt-4o
1863,5C,gpt-4o
1733,2C,gpt-4o
1830,6D,gpt-4o
2216,1A,gpt-4o
2216,6C,gpt-4o
2092,3B,gpt-4o
2078,1A,gpt-4o
2078,5C,gpt-4o
2035,1A,gpt-4o
2028,2A,gpt-4o
2086,1B,gpt-4o
2086,1C,gpt-4o
1714,3B,gpt-4o
1714,3D,gpt-4o
1977,2B,gpt-4o
2133,2C,gpt-4o
2133,3A,gpt-4o
2133,3B,gpt-4o
2133,3C,gpt-4o
1829,1A,gpt-4o
1999,1A,gpt-4o
1999,5C,gpt-4o
1737,1D,gpt-4o
2091,3A,gpt-4o
2091,1A,gpt-4o
1791,5C,gpt-4o
2192,2A,gpt-4o
2192,1A,gpt-4o
1931,6D,gpt-4o
1834,2A,gpt-4o
1834,6D,gpt-4o
1937,7A,gpt-4o
1715,4C,gpt-4o
1887,4A,gpt-4o
1887,1A,gpt-4o
1752,1A,gpt-4o
1752,2C,gpt-4o
1718,3D,gpt-4o
2025,1C,gpt-4o
2025,4C,gpt-4o
1935,3D,gpt-4o
1868,1B,gpt-4o
2063,1A,gpt-4o
2063,2B,gpt-4o
2063,3B,gpt-4o
2050,6D,gpt-4o
1934,1A,gpt-4o
1934,5C,gpt-4o
2123,1A,gpt-4o
2123,1B,gpt-4o
1947,7A,gpt-4o
1933,1A,gpt-4o
1792,6D,gpt-4o
2213,3B,gpt-4o
2213,6C,gpt-4o
2076,1A,gpt-4o
2076,5C,gpt-4o
2147,2A,gpt-4o
2147,6A,gpt-4o
2135,2C,gpt-4o
2135,2A,gpt-4o
2085,1A,gpt-4o
1876,5C,gpt-4o
2157,2C,gpt-4o
2043,6D,gpt-4o
1742,3A,gpt-4o
1742,3D,gpt-4o
1742,6D,gpt-4o
1846,2A,gpt-4o
1846,1B,gpt-4o
1804,3C,gpt-4o
1804,5C,gpt-4o
1795,1A,gpt-4o
1795,5C,gpt-4o
1751,5C,gpt-4o
2220,3B,gpt-4o
2230,3A,gpt-4o
2230,5C,gpt-4o
1721,2C,gpt-4o
2152,7A,gpt-4o
1992,1C,gpt-4o
1992,6C,gpt-4o
1870,3B,gpt-4o
1870,3C,gpt-4o
1870,5B,gpt-4o
1901,3D,gpt-4o
2175,3B,gpt-4o
1890,6D,gpt-4o
1776,3A,gpt-4o
1776,1A,gpt-4o
2051,1A,gpt-4o
1816,1A,gpt-4o
1816,1C,gpt-4o
2083,1A,gpt-4o
2083,2B,gpt-4o
2083,5B,gpt-4o
1975,3A,gpt-4o
2067,1A,gpt-4o
2067,2A,gpt-4o
1817,1A,gpt-4o
1817,4C,gpt-4o
2228,3A,gpt-4o
2228,6D,gpt-4o
2217,3D,gpt-4o
2217,5C,gpt-4o
1966,2D,gpt-4o
1786,2A,gpt-4o
1786,1D,gpt-4o
1960,1A,gpt-4o
1971,2A,gpt-4o
1971,1B,gpt-4o
1971,4B,gpt-4o
2115,2B,gpt-4o
2153,3D,gpt-4o
1822,5B,gpt-4o
2108,4A,gpt-4o
2107,6C,gpt-4o
1874,1A,gpt-4o
2059,3A,gpt-4o
2059,5C,gpt-4o
2004,1A,gpt-4o
2004,3B,gpt-4o
2004,6C,gpt-4o
1820,1A,gpt-4o
1873,1A,gpt-4o
2060,1A,gpt-4o
2060,2A,gpt-4o
1878,3A,gpt-4o
1878,3D,gpt-4o
1878,6C,gpt-4o
2186,1A,gpt-4o
2186,6C,gpt-4o
2186,6D,gpt-4o
1803,7A,gpt-4o
1948,1A,gpt-4o
1948,3B,gpt-4o
1948,6D,gpt-4o
2113,1A,gpt-4o
2113,1C,gpt-4o
2124,2C,gpt-4o
2124,3C,gpt-4o
2124,2A,gpt-4o
2022,3C,gpt-4o
2119,3A,gpt-4o
2119,5C,gpt-4o
2221,5C,gpt-4o
1717,1A,gpt-4o
1841,5C,gpt-4o
1741,6D,gpt-4o
2167,2A,gpt-4o
2046,1A,gpt-4o
2046,6C,gpt-4o
1738,1A,gpt-4o
2184,1A,gpt-4o
2184,5C,gpt-4o
1909,7A,gpt-4o
2020,2B,gpt-4o
2015,7A,gpt-4o
1735,7A,gpt-4o
1810,1C,gpt-4o
1810,3A,gpt-4o
1745,3B,gpt-4o
1745,5C,gpt-4o
1954,6C,gpt-4o
2038,6D,gpt-4o
1831,5C,gpt-4o
1831,3C,gpt-4o
2202,1A,gpt-4o
1903,6D,gpt-4o
2200,2B,gpt-4o
1787,1A,gpt-4o
2121,1A,gpt-4o
2197,5C,gpt-4o
1869,3D,gpt-4o
1761,2A,gpt-4o
2039,2C,gpt-4o
2039,6C,gpt-4o
1902,2B,gpt-4o
1744,1A,gpt-4o
1833,6D,gpt-4o
1872,1A,gpt-4o
1739,4A,gpt-4o
1813,5B,gpt-4o
1813,5C,gpt-4o
2143,1B,gpt-4o
1767,6D,gpt-4o
1700,1C,gpt-4o
1915,1A,gpt-4o
1915,1B,gpt-4o
1930,1A,gpt-4o
1930,1B,gpt-4o
2102,6C,gpt-4o
2102,1D,gpt-4o
1943,6D,gpt-4o
1755,6D,gpt-4o
2065,3A,gpt-4o
2065,2D,gpt-4o
1746,1A,gpt-4o
1746,2A,gpt-4o
1722,3B,gpt-4o
1722,6D,gpt-4o
1875,2C,gpt-4o
2171,3A,gpt-4o
2058,1A,gpt-4o
2058,6A,gpt-4o
2188,1A,gpt-4o
2188,1C,gpt-4o
1939,5C,gpt-4o
2223,6C,gpt-4o
1759,1A,gpt-4o
1818,1C,gpt-4o
1818,4D,gpt-4o
2198,5C,gpt-4o
2030,1B,gpt-4o
2030,5B,gpt-4o
2030,6C,gpt-4o
1894,6D,gpt-4o
1847,1A,gpt-4o
2064,3A,gpt-4o
1794,3D,gpt-4o
1998,2C,gpt-4o
1815,5C,gpt-4o
1840,2C,gpt-4o
1840,6C,gpt-4o
2158,1A,gpt-4o
2018,2C,gpt-4o
2138,4B,gpt-4o
2138,5C,gpt-4o
2172,6D,gpt-4o
1910,2C,gpt-4o
1910,1A,gpt-4o
1758,1A,gpt-4o
1758,3A,gpt-4o
1758,3D,gpt-4o
2165,2C,gpt-4o
1925,2A,gpt-4o
2111,2C,gpt-4o
2111,6C,gpt-4o
2003,1A,gpt-4o
2003,2A,gpt-4o
2003,6C,gpt-4o
1898,2D,gpt-4o
2168,2C,gpt-4o
2168,3A,gpt-4o
2168,5C,gpt-4o
2168,6D,gpt-4o
1773,5C,gpt-4o
1773,3B,gpt-4o
1912,6D,gpt-4o
1855,1A,gpt-4o
2007,1A,gpt-4o
2103,1A,gpt-4o
2103,1C,gpt-4o
2159,6C,gpt-4o
2159,5C,gpt-4o
1783,4C,gpt-4o
1766,2B,gpt-4o
1766,2C,gpt-4o
2136,6C,gpt-4o
1850,2C,gpt-4o
1808,2B,gpt-4o
1808,2C,gpt-4o
1763,3B,gpt-4o
1763,5C,gpt-4o
1879,6A,gpt-4o
1904,6D,gpt-4o
2084,3C,gpt-4o
2084,2C,gpt-4o
2106,1A,gpt-4o
2074,2A,gpt-4o
2074,5B,gpt-4o
1836,2B,gpt-4o
1836,2C,gpt-4o
1958,2D,gpt-4o
1782,1A,gpt-4o
1782,3D,gpt-4o
1973,2C,gpt-4o
1851,1A,gpt-4o
1851,2B,gpt-4o
2155,1B,gpt-4o
1702,2C,gpt-4o
2079,7A,gpt-4o
2131,1B,gpt-4o
2131,2B,gpt-4o
1919,6D,gpt-4o
2185,2A,gpt-4o
2185,5C,gpt-4o
2019,6A,gpt-4o
1881,5C,gpt-4o
1852,1A,gpt-4o
1852,5C,gpt-4o
1727,1B,gpt-4o
2129,1A,gpt-4o
2129,5C,gpt-4o
1731,1A,gpt-4o
1731,2B,gpt-4o
1731,2C,gpt-4o
1854,5A,gpt-4o
1854,5C,gpt-4o
2098,4D,gpt-4o
1938,2C,gpt-4o
1938,6D,gpt-4o
2110,2B,gpt-4o
2110,2C,gpt-4o
1994,2B,gpt-4o
1994,6D,gpt-4o
2029,2B,gpt-4o
2029,5C,gpt-4o
2176,2B,gpt-4o
2176,3C,gpt-4o
1800,3B,gpt-4o
1995,1A,gpt-4o
1995,5C,gpt-4o
1768,6A,gpt-4o
1768,3D,gpt-4o
2094,2B,gpt-4o
2094,5C,gpt-4o
1856,5C,gpt-4o
2077,2B,gpt-4o
2162,5C,gpt-4o
2032,2B,gpt-4o
2170,5B,gpt-4o
1985,2B,gpt-4o
1985,5C,gpt-4o
2040,2B,gpt-4o
1877,5C,gpt-4o
1877,6A,gpt-4o
1926,1B,gpt-4o
2205,2B,gpt-4o
2205,3C,gpt-4o
2008,2B,gpt-4o
2008,3D,gpt-4o
1917,2B,gpt-4o
1917,5C,gpt-4o
1838,2B,gpt-4o
2139,3B,gpt-4o
1882,2C,gpt-4o
2140,2B,gpt-4o
1704,1A,gpt-4o
1980,1A,gpt-4o
2160,2B,gpt-4o
2160,2D,gpt-4o
1709,3C,gpt-4o
2071,2B,gpt-4o
3075,6D,gpt-4o
3052,6D,gpt-4o
2670,3D,gpt-4o
3035,2D,gpt-4o
2464,2B,gpt-4o
2464,2C,gpt-4o
2982,2C,gpt-4o
2969,7A,gpt-4o
2866,1B,gpt-4o
3020,2B,gpt-4o
3020,3C,gpt-4o
2855,6A,gpt-4o
2892,1C,gpt-4o
2782,2B,gpt-4o
2744,6D,gpt-4o
2973,5C,gpt-4o
2966,2C,gpt-4o
3009,3B,gpt-4o
2798,3C,gpt-4o
3026,2B,gpt-4o
3026,3C,gpt-4o
2538,1B,gpt-4o
2538,4A,gpt-4o
2636,6D,gpt-4o
2757,2B,gpt-4o
2460,3B,gpt-4o
2654,6A,gpt-4o
2654,3D,gpt-4o
2574,1B,gpt-4o
2574,2B,gpt-4o
2574,2C,gpt-4o
2889,2C,gpt-4o
2522,2C,gpt-4o
2511,2B,gpt-4o
2503,2B,gpt-4o
2503,6A,gpt-4o
2761,1A,gpt-4o
2761,3C,gpt-4o
2761,3D,gpt-4o
2937,5B,gpt-4o
2937,6C,gpt-4o
3080,6D,gpt-4o
2428,2B,gpt-4o
2468,6D,gpt-4o
2723,1B,gpt-4o
2751,3C,gpt-4o
2430,6D,gpt-4o
2625,3C,gpt-4o
3060,2B,gpt-4o
3060,5C,gpt-4o
2570,3A,gpt-4o
2234,7A,gpt-4o
2616,2B,gpt-4o
2616,2C,gpt-4o
2857,2C,gpt-4o
2597,3C,gpt-4o
2713,2B,gpt-4o
2740,3A,gpt-4o
2863,5C,gpt-4o
2763,4B,gpt-4o
2512,2A,gpt-4o
2934,7A,gpt-4o
2624,2B,gpt-4o
2624,3D,gpt-4o
2827,2A,gpt-4o
2827,2B,gpt-4o
2827,1B,gpt-4o
2631,6D,gpt-4o
2661,5A,gpt-4o
2661,2B,gpt-4o
2699,6D,gpt-4o
2943,5C,gpt-4o
2560,5C,gpt-4o
2456,2C,gpt-4o
2456,3C,gpt-4o
2587,7A,gpt-4o
2454,2B,gpt-4o
2845,3B,gpt-4o
3049,6D,gpt-4o
2639,2C,gpt-4o
2639,5C,gpt-4o
2440,2B,gpt-4o
2949,2B,gpt-4o
2880,2B,gpt-4o
2711,2B,gpt-4o
2711,2C,gpt-4o
2985,6A,gpt-4o
2850,2B,gpt-4o
2850,3C,gpt-4o
2794,5C,gpt-4o
3029,5C,gpt-4o
2691,6D,gpt-4o
2847,6A,gpt-4o
2847,6D,gpt-4o
3024,6A,gpt-4o
2656,2B,gpt-4o
2696,1B,gpt-4o
2544,4B,gpt-4o
2544,3D,gpt-4o
2793,3A,gpt-4o
2793,1A,gpt-4o
2473,7A,gpt-4o
2477,3D,gpt-4o
2888,6C,gpt-4o
2528,1C,gpt-4o
2528,5C,gpt-4o
2690,5C,gpt-4o
2720,2C,gpt-4o
2578,6C,gpt-4o
2578,2B,gpt-4o
2553,2B,gpt-4o
2877,6D,gpt-4o
2716,3B,gpt-4o
2641,3A,gpt-4o
2508,1A,gpt-4o
2824,1A,gpt-4o
2494,5C,gpt-4o
2494,1C,gpt-4o
2494,6C,gpt-4o
2772,1A,gpt-4o
2772,3D,gpt-4o
2772,4B,gpt-4o
2539,3A,gpt-4o
2539,6C,gpt-4o
2439,2C,gpt-4o
2989,5C,gpt-4o
2989,3C,gpt-4o
2564,6D,gpt-4o
2600,6D,gpt-4o
2600,6A,gpt-4o
2743,5C,gpt-4o
2743,7A,gpt-4o
2647,5C,gpt-4o
2647,2C,gpt-4o
2668,2A,gpt-4o
2668,1B,gpt-4o
2617,3A,gpt-4o
2652,6D,gpt-4o
3056,1B,gpt-4o
3056,1A,gpt-4o
2758,6C,gpt-4o
2895,3A,gpt-4o
2995,1A,gpt-4o
2717,1B,gpt-4o
2823,1A,gpt-4o
2823,1B,gpt-4o
2571,5C,gpt-4o
2571,2C,gpt-4o
2700,5A,gpt-4o
2700,5C,gpt-4o
2944,1C,gpt-4o
2944,2B,gpt-4o
2930,2A,gpt-4o
2447,6D,gpt-4o
2864,2A,gpt-4o
2864,6D,gpt-4o
3036,2A,gpt-4o
2450,1A,gpt-4o
2881,3A,gpt-4o
2734,5C,gpt-4o
2710,1A,gpt-4o
2986,2A,gpt-4o
2986,1D,gpt-4o
2947,6D,gpt-4o
2760,2A,gpt-4o
2760,2B,gpt-4o
2760,2C,gpt-4o
2760,3B,gpt-4o
3072,1A,gpt-4o
2705,2C,gpt-4o
2935,7A,gpt-4o
2486,2B,gpt-4o
2998,1A,gpt-4o
2554,1A,gpt-4o
2554,2B,gpt-4o
2860,3D,gpt-4o
2530,5C,gpt-4o
2566,7A,gpt-4o
2497,3A,gpt-4o
2497,3D,gpt-4o
2897,3B,gpt-4o
2897,3D,gpt-4o
2897,6C,gpt-4o
3073,2C,gpt-4o
2458,1A,gpt-4o
2990,1B,gpt-4o
2990,2C,gpt-4o
2765,1B,gpt-4o
2765,2C,gpt-4o
3050,6D,gpt-4o
2869,1C,gpt-4o
2606,2A,gpt-4o
2606,2C,gpt-4o
2999,1C,gpt-4o
2629,2A,gpt-4o
2626,1A,gpt-4o
2715,7A,gpt-4o
2868,2D,gpt-4o
2465,7A,gpt-4o
2475,7A,gpt-4o
2867,1A,gpt-4o
2643,6D,gpt-4o
2541,6C,gpt-4o
2541,6D,gpt-4o
2728,1B,gpt-4o
2662,2C,gpt-4o
2478,6C,gpt-4o
2478,6D,gpt-4o
2904,2C,gpt-4o
2632,3A,gpt-4o
2632,1A,gpt-4o
2804,6C,gpt-4o
2653,1B,gpt-4o
2490,2A,gpt-4o
2490,5C,gpt-4o
2550,1A,gpt-4o
2945,6D,gpt-4o
2945,4A,gpt-4o
2899,5C,gpt-4o
2907,2B,gpt-4o
2907,2C,gpt-4o
2893,1A,gpt-4o
2778,2C,gpt-4o
2510,1A,gpt-4o
2510,3A,gpt-4o
2786,3A,gpt-4o
2861,5C,gpt-4o
2861,4A,gpt-4o
2861,2B,gpt-4o
2777,5C,gpt-4o
2777,6D,gpt-4o
2686,5C,gpt-4o
2787,6C,gpt-4o
2787,2C,gpt-4o
2955,7A,gpt-4o
3077,7A,gpt-4o
2595,3C,gpt-4o
2746,1A,gpt-4o
2746,1B,gpt-4o
3022,5C,gpt-4o
3022,3B,gpt-4o
2929,1B,gpt-4o
3046,2B,gpt-4o
2933,1A,gpt-4o
2933,1C,gpt-4o
2499,1C,gpt-4o
2499,2B,gpt-4o
2499,3A,gpt-4o
2581,3B,gpt-4o
2873,3B,gpt-4o
2466,2A,gpt-4o
2466,2C,gpt-4o
3032,1A,gpt-4o
2902,7A,gpt-4o
2680,6A,gpt-4o
3059,5A,gpt-4o
3059,5C,gpt-4o
2977,7A,gpt-4o
2688,3B,gpt-4o
2688,5C,gpt-4o
2489,1A,gpt-4o
2489,5C,gpt-4o
3069,1A,gpt-4o
3069,5B,gpt-4o
2644,1A,gpt-4o
2615,1A,gpt-4o
2900,3C,gpt-4o
2614,1C,gpt-4o
2614,5C,gpt-4o
2789,6D,gpt-4o
2669,3B,gpt-4o
2628,5A,gpt-4o
3064,2C,gpt-4o
2939,7A,gpt-4o
2994,1A,gpt-4o
2994,3A,gpt-4o
2531,1A,gpt-4o
2516,3A,gpt-4o
3062,3D,gpt-4o
2928,2C,gpt-4o
3070,1A,gpt-4o
3070,5C,gpt-4o
3070,6A,gpt-4o
2791,6D,gpt-4o
2814,1A,gpt-4o
2814,1C,gpt-4o
3044,1A,gpt-4o
3044,3B,gpt-4o
3084,6D,gpt-4o
2703,6D,gpt-4o
2568,6C,gpt-4o
2689,1A,gpt-4o
2591,1B,gpt-4o
2535,2C,gpt-4o
2724,1A,gpt-4o
2967,4D,gpt-4o
2453,3D,gpt-4o
2453,2C,gpt-4o
2923,2B,gpt-4o
2923,5C,gpt-4o
2813,1C,gpt-4o
2813,3A,gpt-4o
2813,2C,gpt-4o
2812,2A,gpt-4o
2875,1C,gpt-4o
2875,2C,gpt-4o
2970,3B,gpt-4o
2970,6D,gpt-4o
2831,2C,gpt-4o
2646,5C,gpt-4o
2546,4C,gpt-4o
2561,2A,gpt-4o
2561,1A,gpt-4o
2561,5C,gpt-4o
2701,5C,gpt-4o
2426,6C,gpt-4o
2547,2C,gpt-4o
2498,7A,gpt-4o
2834,3D,gpt-4o
2984,6D,gpt-4o
2927,3C,gpt-4o
2991,2C,gpt-4o
2961,7A,gpt-4o
3039,6D,gpt-4o
2601,1A,gpt-4o
2601,5C,gpt-4o
2603,6D,gpt-4o
2434,3D,gpt-4o
2741,5C,gpt-4o
2438,2A,gpt-4o
2438,6D,gpt-4o
2884,2C,gpt-4o
3023,7A,gpt-4o
2909,1A,gpt-4o
2909,6C,gpt-4o
2909,6D,gpt-4o
3087,2A,gpt-4o
3087,2C,gpt-4o
2885,1B,gpt-4o
2885,5C,gpt-4o
2480,6D,gpt-4o
3004,1A,gpt-4o
3004,5C,gpt-4o
2838,1A,gpt-4o
3051,2C,gpt-4o
2619,5C,gpt-4o
2619,2C,gpt-4o
2556,2B,gpt-4o
2556,2D,gpt-4o
2914,7A,gpt-4o
3005,1B,gpt-4o
3005,5C,gpt-4o
2582,1A,gpt-4o
2582,1B,gpt-4o
2582,3A,gpt-4o
2830,2D,gpt-4o
2843,3C,gpt-4o
2737,4B,gpt-4o
2451,4C,gpt-4o
2446,2B,gpt-4o
2693,6A,gpt-4o
3014,1A,gpt-4o
3014,2A,gpt-4o
3014,1C,gpt-4o
2878,5C,gpt-4o
2878,6A,gpt-4o
2836,5A,gpt-4o
2533,4C,gpt-4o
2533,2B,gpt-4o
2835,2A,gpt-4o
2946,1D,gpt-4o
2946,6D,gpt-4o
3065,1A,gpt-4o
2640,2D,gpt-4o
2795,3C,gpt-4o
2657,1A,gpt-4o
2657,1D,gpt-4o
3003,5C,gpt-4o
3018,5A,gpt-4o
3018,5C,gpt-4o
2507,2D,gpt-4o
2507,6A,gpt-4o
3078,2C,gpt-4o
